,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[36],-0.455,0.892,-2.088,1.262,0.013,0.009,4848.0,4848.0,4854.0,5707.0,1.0
mu_movie[37],2.678,0.903,0.957,4.34,0.013,0.009,4815.0,4815.0,4814.0,6544.0,1.0
mu_movie[38],-1.167,0.979,-2.98,0.724,0.013,0.01,5497.0,5024.0,5498.0,5650.0,1.0
mu_movie[39],4.228,0.914,2.461,5.904,0.013,0.009,5149.0,5149.0,5162.0,6238.0,1.0
mu_movie[40],-0.553,0.835,-2.116,0.998,0.013,0.009,4019.0,4019.0,4020.0,5889.0,1.0
mu_movie[41],1.069,1.176,-1.137,3.229,0.015,0.011,6343.0,5789.0,6344.0,6299.0,1.0
mu_movie[42],1.707,1.017,-0.215,3.622,0.014,0.01,5621.0,5587.0,5634.0,6613.0,1.0
mu_movie[43],-1.375,0.886,-3.049,0.31,0.013,0.009,4972.0,4972.0,4974.0,5674.0,1.0
mu_movie[44],1.507,0.973,-0.294,3.325,0.014,0.01,5134.0,5134.0,5124.0,6158.0,1.0
mu_movie[45],1.533,0.905,-0.128,3.218,0.013,0.009,5110.0,5048.0,5108.0,5979.0,1.0
mu_movie[46],-0.9,0.954,-2.718,0.877,0.014,0.01,4562.0,4562.0,4552.0,6549.0,1.0
mu_movie[47],-1.661,0.982,-3.522,0.155,0.013,0.01,5475.0,5175.0,5483.0,6283.0,1.0
mu_movie[48],-3.049,0.993,-4.918,-1.196,0.013,0.009,6252.0,6129.0,6266.0,6638.0,1.0
mu_movie[49],-0.151,0.841,-1.757,1.424,0.013,0.009,4046.0,4046.0,4051.0,5987.0,1.0
mu_movie[50],1.691,0.966,-0.081,3.536,0.015,0.01,4419.0,4419.0,4425.0,5955.0,1.0
mu_movie[51],-0.495,1.059,-2.513,1.439,0.015,0.01,5293.0,5254.0,5294.0,6414.0,1.0
mu_movie[52],-0.336,0.977,-2.079,1.56,0.014,0.01,5130.0,4610.0,5135.0,5470.0,1.0
mu_movie[53],-0.355,0.933,-2.064,1.435,0.013,0.01,5081.0,4174.0,5093.0,6172.0,1.0
