,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[174],-1.431,0.975,-3.326,0.322,0.014,0.01,4785.0,4785.0,4795.0,5985.0,1.0
mu_movie[175],-0.776,0.995,-2.714,1.03,0.014,0.01,4765.0,4765.0,4770.0,5827.0,1.0
mu_movie[176],-3.798,0.933,-5.539,-2.032,0.015,0.011,3966.0,3836.0,3972.0,4914.0,1.0
mu_movie[177],1.766,0.875,0.214,3.528,0.012,0.009,5041.0,4935.0,5037.0,6427.0,1.0
mu_movie[178],-0.48,0.9,-2.106,1.228,0.012,0.009,5254.0,4792.0,5252.0,5938.0,1.0
mu_movie[179],2.07,0.832,0.467,3.562,0.013,0.01,3814.0,3814.0,3818.0,6184.0,1.0
mu_movie[180],-2.178,0.963,-3.94,-0.32,0.015,0.011,3939.0,3939.0,3970.0,5648.0,1.0
mu_movie[181],-3.969,0.953,-5.801,-2.211,0.014,0.01,4705.0,4596.0,4726.0,5862.0,1.0
mu_movie[182],-1.294,1.021,-3.209,0.628,0.015,0.011,4362.0,4362.0,4357.0,5958.0,1.0
mu_movie[183],1.866,0.994,0.043,3.745,0.012,0.009,6468.0,6396.0,6476.0,6748.0,1.0
mu_movie[184],-1.885,0.977,-3.759,-0.039,0.014,0.01,4879.0,4555.0,4870.0,6172.0,1.0
mu_movie[185],0.586,0.93,-1.143,2.344,0.014,0.01,4561.0,4561.0,4567.0,6552.0,1.0
mu_movie[186],2.652,0.953,0.858,4.41,0.014,0.01,4321.0,4258.0,4320.0,5828.0,1.0
mu_movie[187],-0.482,1.055,-2.417,1.544,0.014,0.011,5896.0,4542.0,5895.0,5948.0,1.0
mu_movie[188],0.883,1.178,-1.406,2.968,0.012,0.011,9378.0,5579.0,9389.0,6546.0,1.0
mu_movie[189],-0.194,0.926,-1.901,1.576,0.013,0.01,5289.0,4590.0,5281.0,6116.0,1.0
mu_movie[190],-2.277,1.034,-4.226,-0.354,0.012,0.009,6868.0,6177.0,6868.0,6052.0,1.0
mu_movie[191],-0.573,0.836,-2.099,1.044,0.013,0.009,3952.0,3952.0,3950.0,5551.0,1.0
mu_movie[192],0.791,1.031,-1.233,2.657,0.013,0.01,6555.0,5360.0,6552.0,5991.0,1.0
mu_movie[193],1.968,0.914,0.307,3.701,0.015,0.011,3526.0,3424.0,3527.0,5850.0,1.0
mu_movie[194],-1.71,0.882,-3.345,-0.069,0.015,0.011,3389.0,3389.0,3395.0,5459.0,1.0
mu_movie[195],-0.649,1.067,-2.675,1.313,0.012,0.01,7382.0,5175.0,7396.0,6836.0,1.0
mu_movie[196],-3.081,0.914,-4.882,-1.433,0.015,0.011,3617.0,3617.0,3614.0,5712.0,1.0
mu_movie[197],1.859,0.891,0.158,3.493,0.014,0.01,4357.0,4215.0,4357.0,6170.0,1.0
mu_movie[198],-2.097,1.141,-4.247,0.072,0.015,0.011,6104.0,5690.0,6107.0,5812.0,1.0
mu_movie[199],0.079,1.328,-2.43,2.516,0.013,0.015,10463.0,3786.0,10451.0,6905.0,1.0
mu_person[0],-3.253,0.688,-4.524,-1.961,0.023,0.017,872.0,862.0,875.0,1793.0,1.0
mu_person[1],2.774,0.669,1.515,4.03,0.023,0.016,829.0,829.0,831.0,1696.0,1.0
mu_person[2],0.151,0.668,-1.048,1.459,0.023,0.016,858.0,858.0,860.0,1786.0,1.0
mu_person[3],3.692,0.669,2.458,4.997,0.023,0.016,866.0,866.0,868.0,1708.0,1.0
mu_person[4],3.169,0.67,1.955,4.496,0.023,0.016,841.0,841.0,844.0,1667.0,1.0
mu_person[5],-2.764,0.675,-4.043,-1.486,0.023,0.017,847.0,834.0,849.0,1675.0,1.0
mu_person[6],-4.628,0.667,-5.835,-3.35,0.023,0.017,817.0,810.0,819.0,1665.0,1.0
mu_person[7],-4.351,0.696,-5.648,-3.06,0.023,0.016,908.0,896.0,911.0,1990.0,1.0
mu_person[8],-7.357,0.668,-8.659,-6.144,0.023,0.016,835.0,828.0,839.0,1747.0,1.0
mu_person[9],1.755,0.671,0.455,2.971,0.023,0.016,863.0,863.0,866.0,1665.0,1.0
mu_person[10],1.255,0.659,0.019,2.499,0.023,0.016,808.0,808.0,811.0,1571.0,1.0
mu_person[11],-3.081,0.665,-4.325,-1.838,0.023,0.016,825.0,814.0,829.0,1636.0,1.0
mu_person[12],-0.285,0.665,-1.495,0.992,0.023,0.016,862.0,862.0,864.0,1686.0,1.0
mu_person[13],-1.114,0.673,-2.352,0.192,0.023,0.016,857.0,857.0,860.0,1677.0,1.0
mu_person[14],-3.805,0.674,-5.072,-2.555,0.023,0.016,872.0,855.0,876.0,1730.0,1.0
mu_person[15],2.779,0.653,1.516,3.958,0.023,0.016,818.0,818.0,821.0,1904.0,1.0
mu_person[16],-2.578,0.661,-3.774,-1.328,0.023,0.016,838.0,827.0,841.0,1717.0,1.0
mu_person[17],2.473,0.656,1.215,3.666,0.022,0.016,852.0,852.0,854.0,1675.0,1.0
mu_person[18],1.696,0.662,0.427,2.932,0.022,0.016,871.0,871.0,873.0,1704.0,1.0
mu_person[19],-2.546,0.659,-3.771,-1.306,0.023,0.017,809.0,796.0,812.0,1523.0,1.0
mu_person[20],-3.326,0.656,-4.543,-2.1,0.023,0.016,828.0,818.0,832.0,1780.0,1.0
mu_person[21],2.195,0.669,0.928,3.422,0.023,0.016,873.0,873.0,877.0,1797.0,1.0
mu_person[22],-2.809,0.674,-4.079,-1.556,0.023,0.016,850.0,836.0,853.0,1730.0,1.0
mu_person[23],-0.803,0.657,-2.05,0.436,0.023,0.016,828.0,828.0,830.0,1693.0,1.0
mu_person[24],2.483,0.654,1.305,3.775,0.023,0.016,811.0,811.0,814.0,1668.0,1.0
mu_genre[0],-2.936,0.788,-4.381,-1.439,0.027,0.019,846.0,846.0,848.0,1867.0,1.0
mu_genre[1],-1.934,0.75,-3.379,-0.572,0.027,0.019,767.0,767.0,767.0,1688.0,1.0
mu_genre[2],-3.7,0.772,-5.13,-2.248,0.027,0.019,831.0,831.0,831.0,1513.0,1.0
mu_genre[3],-4.433,0.748,-5.864,-3.032,0.026,0.018,836.0,836.0,837.0,1567.0,1.0
mu_genre[4],0.386,0.781,-1.078,1.892,0.025,0.018,993.0,993.0,994.0,1834.0,1.0
sigma_movie,3.136,0.045,3.051,3.218,0.0,0.0,14205.0,14205.0,14222.0,7465.0,1.0
sigma_person,2.929,0.368,2.299,3.646,0.005,0.004,5181.0,4941.0,5524.0,5810.0,1.0
sigma_genre,2.572,0.543,1.618,3.619,0.01,0.007,3058.0,3058.0,2930.0,4484.0,1.0
